STATISTIC	pval	fdr
SRR8615745	0.639818491208168	1.53999035745755e-12	1.30129185205163e-09
SRR8615746	0.655842314237096	1.50990331349021e-14	1.3725021119626e-11
SRR8615747	0.113301191151446	0.774289532999477	1
SRR8615749	0.211712989222916	0.0796000829011386	1
SRR8615750	0.356920022688599	0.000339942541264793	0.136316959047182
SRR8615751	-0.175127623369257	0.246983025823827	1
SRR8615752	0.698525241066364	7.32747196252603e-15	6.74860167748648e-12
SRR8615756	0.593306863301191	7.66819940878349e-11	5.93518634239842e-08
SRR8615758	-0.519001701644923	2.13982547236924e-08	1.41656446270844e-05
SRR8615760	0.230005672149745	0.0543991756288895	1
SRR8615762	0.254537719795803	0.0242024590748199	1
SRR8615763	0.645490640952921	9.37139255086095e-13	8.01254063098611e-10
SRR8615764	0.180941576857629	0.214631479619291	1
SRR8615765	-0.496029495178673	3.29220017913912e-08	2.14322231661956e-05
SRR8615767	0.401162790697674	3.4589198783963e-05	0.0163261018260306
SRR8615768	-0.371809415768576	0.00010032778832747	0.0443448824407418
SRR8615770	0.124361883153715	0.667850701006237	1
SRR8615771	-0.448099829835508	1.01478711100889e-06	0.000576399079053047
SRR8615772	0.242200794100964	0.0367448518131713	1
SRR8615773	0.462563811684629	3.82688603139947e-07	0.000228082407471408
SRR8615775	0.284600113442995	0.00612704803557029	1
SRR8615778	0.520136131593874	1.97467621143588e-08	1.31315968060486e-05
SRR8615781	0.730147475893364	6.66133814775094e-16	6.60804744256893e-13
SRR8615784	0.703488372093023	6.66133814775094e-16	6.60804744256893e-13
SRR8615786	0.448525241066364	9.74392211805508e-07	0.000556377952940945
SRR8615787	0.485819625638117	7.29348428318843e-08	4.60948206697509e-05
SRR8615789	0.451928530913216	7.79102209302884e-07	0.000449541974767764
SRR8615790	0.685195689166194	2.56461518688411e-14	2.31584751375635e-11
SRR8615791	0.733976176971072	2.22044604925031e-16	2.22266649529956e-13
SRR8615792	-0.570051049347703	7.67855778960325e-11	5.93552517136331e-08
SRR8615793	-0.363868406125922	0.000153226651713467	0.0654277802816505
SRR8615795	-0.742342597844583	6.66133814775094e-16	6.60804744256893e-13
SRR8615796	0.169313669880885	0.248415717343476	1
SRR8615801	0.135138967668746	0.511841381402827	1
SRR8615803	0.292115711854793	0.00597038811464579	1
SRR8615806	-0.533465683494044	1.7900064763765e-09	1.27806462413282e-06
SRR8615807	-0.507515598411798	1.41300433575964e-08	9.59429943980794e-06
SRR8615808	-0.248014747589336	0.0302594703097652	1
SRR8615809	-0.761769710720363	6.66133814775094e-16	6.60804744256893e-13
SRR8615810	0.460720363017584	1.04712111548277e-06	0.000593717672478733
SRR8615812	-0.50368689733409	1.87644388915942e-08	1.25158807406933e-05
SRR8615813	-0.648184912081679	3.47499806707674e-14	3.12054826423491e-11
SRR8615817	-0.190017016449234	0.147330443987596	1
SRR8615818	-0.151446398184912	0.371717621029443	1
SRR8615820	-0.14804310833806	0.399053381299672	1
SRR8615822	0.448525241066364	9.74392211805508e-07	0.000556377952940945
SRR8615825	-0.20873511060692	0.086978381379022	1
SRR8615826	0.416477595008508	1.47368548932825e-05	0.00738316430153452
SRR8615827	-0.31920022688599	0.00137725156498958	0.504074072786186
SRR8615828	-0.41378332387975	9.06615949869405e-06	0.00465093982283005
SRR8615829	-0.710294951786727	6.66133814775094e-16	6.60804744256893e-13
SRR8615833	0.670306296086217	3.5527136788005e-15	3.28981286656926e-12
SRR8615834	-0.429381735677822	3.44579146394075e-06	0.00184005264174436
SRR8615836	0.663074305161656	1.95399252334028e-13	1.7077894653994e-10
SRR8615838	0.568916619398752	5.29054355880021e-10	3.89384005927695e-07
SRR8615839	0.684770277935338	2.66453525910038e-14	2.40074626844944e-11
SRR8615840	-0.152013613159387	0.410554046824985	1
SRR8615841	-0.80941576857629	0	0
SRR8615843	0.584515031196824	1.55278789826241e-10	1.18632995427248e-07
SRR8615845	0.544526375496313	3.3658997811159e-09	2.37632524546783e-06
SRR8615848	0.408111174134997	2.35801893545551e-05	0.0114442916024085
SRR8615849	0.357770845150312	0.000326146038654995	0.131110707539308
SRR8615851	0.415768576290414	1.53414239996152e-05	0.00767071199980762
SRR8615855	0.686330119115145	2.29816166097407e-14	2.07753814152056e-11
SRR8615856	-0.721355643788996	6.66133814775094e-16	6.60804744256893e-13
SRR8615857	-0.199517867271696	0.113446837787822	1
SRR8615859	0.509075439591605	4.28895085002878e-08	2.77066224911859e-05
SRR8615862	0.411939875212706	1.90388297484079e-05	0.00946229838495871
SRR8615863	-0.258933635847986	0.0207523925721997	1
SRR8615864	0.397050482132728	2.42875400233711e-05	0.0117551693713116
SRR8615865	0.320051049347703	0.00186195123044841	0.66844049173098
SRR8615868	0.658111174134997	3.05422354074381e-13	2.65717448044711e-10
SRR8615870	-0.178956324446965	0.196493163426955	1
SRR8615872	0.576574021554169	2.91035084920566e-10	2.17694243520583e-07
SRR8615875	-0.361883153715258	0.000169397339046973	0.0713162797387755
SRR8615876	0.391236528644356	3.3972321211384e-05	0.0160689079329847
SRR8615878	0.396625070901872	4.42652749479411e-05	0.0205833528507926
SRR8615879	-0.344724900737379	0.000406439289835858	0.161720460655191
SRR8615881	0.685195689166194	2.56461518688411e-14	2.31584751375635e-11
SRR8615882	0.506806579693704	5.01827730481352e-08	3.2267523069951e-05
SRR8615883	0.721781055019853	7.7715611723761e-16	7.37521155258491e-13
SRR8615886	0.706891661939875	3.21964677141295e-15	2.99105185064263e-12
SRR8615890	0.616137266023823	1.16849863118773e-11	9.38304400843748e-09
SRR8615891	-0.372943845717527	9.41233699010002e-05	0.0417907762360441
SRR8615892	0.716817923993193	1.22124532708767e-15	1.15041309811659e-12
SRR8615893	-0.114861032331254	0.759750369565856	1
SRR8615895	0.622660238230289	6.73783251414761e-12	5.47112000148786e-09
SRR8615896	0.216817923993193	0.0679092518635864	1
SRR8615898	0.586074872376631	1.37113764786534e-10	1.04892030061698e-07
SRR8615901	0.395490640952921	4.70601628451695e-05	0.0217888553973135
SRR8615902	0.501843448667045	7.05810139223217e-08	4.48895248545966e-05
SRR8615903	0.314662507090187	0.00235057484844858	0.825051771805453
SRR8615906	-0.557855927396483	2.26265672864656e-10	1.70604317339951e-07
SRR8615907	0.234543391945547	0.0387298900063147	1
SRR8615908	0.291406693136699	0.00614108490966903	1
SRR8615909	-0.695830969937606	6.66133814775094e-16	6.60804744256893e-13
SRR8615910	0.222348269994328	0.0688781515623318	1
SRR8615912	0.337918321043676	0.000835787234211072	0.316763361765996
SRR8615913	-0.117980714690868	0.730080786802295	1
SRR8615918	0.383720930232558	5.18454587736805e-05	0.023693374659572
SRR8615919	0.368406125921724	0.000192699129103135	0.0803555368360075
SRR8615920	-0.275382870107771	0.00884776891770078	1
SRR8615921	0.433919455473625	2.53733871347084e-06	0.00137523758270119
SRR8615922	-0.252127056154282	0.0211300592577259	1
SRR8615923	-0.427821894498015	3.74588349527638e-06	0.00199281001948703
SRR8615924	-0.631735677821894	1.85629289717326e-13	1.6242562850266e-10
SRR8615925	0.709160521837777	2.66453525910038e-15	2.48601139674065e-12
SRR8615929	0.297078842881452	0.00489183462798359	1
SRR8615930	0.694696539988656	1.04360964314765e-14	9.52815604193802e-12
SRR8615932	0.505246738513897	1.69639956526524e-08	1.14167690742351e-05
SRR8615933	0.29254112308565	0.00587006297764636	1
SRR8615934	-0.737379466817924	6.66133814775094e-16	6.60804744256893e-13
SRR8615936	-0.315796937039138	0.00223877479578871	0.788048728117626
SRR8615937	0.385564378899603	4.72509012628963e-05	0.0217888553973135
SRR8615938	-0.392370958593307	3.17342412032851e-05	0.0151054988127637
SRR8615939	-0.442711287577992	1.45157305353472e-06	0.000807074617765302
